treatment_date,cum_count_redacted,high_risk_group_treated
2022-01-21,20,Downs syndrome
2022-01-22,20,Downs syndrome
2021-12-16,0,HIV or AIDS
2021-12-17,10,HIV or AIDS
2021-12-18,10,HIV or AIDS
2021-12-19,10,HIV or AIDS
2021-12-20,10,HIV or AIDS
2021-12-21,20,HIV or AIDS
2021-12-22,20,HIV or AIDS
2021-12-23,20,HIV or AIDS
2021-12-24,20,HIV or AIDS
2021-12-25,20,HIV or AIDS
2021-12-26,20,HIV or AIDS
2021-12-27,20,HIV or AIDS
2021-12-28,20,HIV or AIDS
2021-12-29,20,HIV or AIDS
2021-12-30,30,HIV or AIDS
2021-12-31,40,HIV or AIDS
2022-01-01,40,HIV or AIDS
2022-01-02,40,HIV or AIDS
2022-01-03,40,HIV or AIDS
2022-01-04,40,HIV or AIDS
2022-01-05,40,HIV or AIDS
2022-01-06,40,HIV or AIDS
2022-01-07,40,HIV or AIDS
2022-01-08,40,HIV or AIDS
2022-01-09,50,HIV or AIDS
2022-01-10,50,HIV or AIDS
2022-01-11,50,HIV or AIDS
2022-01-12,50,HIV or AIDS
2022-01-13,50,HIV or AIDS
2022-01-14,50,HIV or AIDS
2022-01-15,50,HIV or AIDS
2022-01-16,50,HIV or AIDS
2022-01-17,50,HIV or AIDS
2022-01-18,60,HIV or AIDS
2022-01-19,60,HIV or AIDS
2022-01-20,60,HIV or AIDS
2022-01-21,60,HIV or AIDS
2022-01-22,60,HIV or AIDS
2022-01-23,60,HIV or AIDS
2022-01-24,60,HIV or AIDS
2022-01-25,60,HIV or AIDS
2022-01-26,60,HIV or AIDS
2022-01-27,60,HIV or AIDS
2022-01-28,60,HIV or AIDS
2021-12-16,0,IMID
2021-12-17,10,IMID
2021-12-18,20,IMID
2021-12-19,20,IMID
2021-12-20,30,IMID
2021-12-21,40,IMID
2021-12-22,50,IMID
2021-12-23,60,IMID
2021-12-24,90,IMID
2021-12-25,90,IMID
2021-12-26,100,IMID
2021-12-27,120,IMID
2021-12-28,130,IMID
2021-12-29,160,IMID
2021-12-30,180,IMID
2021-12-31,220,IMID
2022-01-01,220,IMID
2022-01-02,230,IMID
2022-01-03,240,IMID
2022-01-04,260,IMID
2022-01-05,280,IMID
2022-01-06,280,IMID
2022-01-07,300,IMID
2022-01-08,310,IMID
2022-01-09,320,IMID
2022-01-10,320,IMID
2022-01-11,330,IMID
2022-01-12,350,IMID
2022-01-13,360,IMID
2022-01-14,380,IMID
2022-01-15,380,IMID
2022-01-16,380,IMID
2022-01-17,390,IMID
2022-01-18,410,IMID
2022-01-19,420,IMID
2022-01-20,430,IMID
2022-01-21,440,IMID
2022-01-22,460,IMID
2022-01-23,460,IMID
2022-01-24,470,IMID
2022-01-25,470,IMID
2022-01-26,470,IMID
2022-01-27,470,IMID
2022-01-28,470,IMID
2022-01-29,470,IMID
2022-01-30,470,IMID
2022-01-31,470,IMID
2022-02-01,480,IMID
2021-12-17,0,haematologic malignancy
2021-12-18,0,haematologic malignancy
2021-12-19,10,haematologic malignancy
2021-12-20,10,haematologic malignancy
2021-12-21,10,haematologic malignancy
2021-12-22,20,haematologic malignancy
2021-12-23,20,haematologic malignancy
2021-12-24,20,haematologic malignancy
2021-12-31,0,haematological diseases
2021-12-17,0,haematological diseases and stem cell transplant recipients
2021-12-18,0,haematological diseases and stem cell transplant recipients
2021-12-19,0,haematological diseases and stem cell transplant recipients
2021-12-20,0,haematological diseases and stem cell transplant recipients
2021-12-21,0,haematological diseases and stem cell transplant recipients
2021-12-22,0,haematological diseases and stem cell transplant recipients
2021-12-23,0,haematological diseases and stem cell transplant recipients
2021-12-24,10,haematological diseases and stem cell transplant recipients
2021-12-25,10,haematological diseases and stem cell transplant recipients
2021-12-26,20,haematological diseases and stem cell transplant recipients
2021-12-27,20,haematological diseases and stem cell transplant recipients
2021-12-28,20,haematological diseases and stem cell transplant recipients
2021-12-29,30,haematological diseases and stem cell transplant recipients
2021-12-30,40,haematological diseases and stem cell transplant recipients
2021-12-31,50,haematological diseases and stem cell transplant recipients
2022-01-01,50,haematological diseases and stem cell transplant recipients
2022-01-02,60,haematological diseases and stem cell transplant recipients
2022-01-03,60,haematological diseases and stem cell transplant recipients
2022-01-04,60,haematological diseases and stem cell transplant recipients
2022-01-05,70,haematological diseases and stem cell transplant recipients
2022-01-06,70,haematological diseases and stem cell transplant recipients
2022-01-07,80,haematological diseases and stem cell transplant recipients
2022-01-08,80,haematological diseases and stem cell transplant recipients
2022-01-09,90,haematological diseases and stem cell transplant recipients
2022-01-10,90,haematological diseases and stem cell transplant recipients
2022-01-11,90,haematological diseases and stem cell transplant recipients
2022-01-12,100,haematological diseases and stem cell transplant recipients
2022-01-13,100,haematological diseases and stem cell transplant recipients
2022-01-14,100,haematological diseases and stem cell transplant recipients
2022-01-15,100,haematological diseases and stem cell transplant recipients
2022-01-16,100,haematological diseases and stem cell transplant recipients
2022-01-17,100,haematological diseases and stem cell transplant recipients
2022-01-18,110,haematological diseases and stem cell transplant recipients
2022-01-19,110,haematological diseases and stem cell transplant recipients
2022-01-20,110,haematological diseases and stem cell transplant recipients
2022-01-21,110,haematological diseases and stem cell transplant recipients
2022-01-22,120,haematological diseases and stem cell transplant recipients
2022-01-23,120,haematological diseases and stem cell transplant recipients
2022-01-24,120,haematological diseases and stem cell transplant recipients
2022-01-25,120,haematological diseases and stem cell transplant recipients
2022-01-26,120,haematological diseases and stem cell transplant recipients
2022-01-27,120,haematological diseases and stem cell transplant recipients
2022-01-28,120,haematological diseases and stem cell transplant recipients
2022-01-29,120,haematological diseases and stem cell transplant recipients
2022-01-30,120,haematological diseases and stem cell transplant recipients
2022-01-31,120,haematological diseases and stem cell transplant recipients
2022-02-01,120,haematological diseases and stem cell transplant recipients
2021-12-18,0,liver disease
2021-12-19,0,liver disease
2021-12-20,0,liver disease
2021-12-21,0,liver disease
2021-12-22,0,liver disease
2021-12-23,0,liver disease
2021-12-24,0,liver disease
2021-12-25,10,liver disease
2021-12-26,10,liver disease
2021-12-27,10,liver disease
2021-12-28,10,liver disease
2021-12-29,10,liver disease
2021-12-30,10,liver disease
2021-12-31,20,liver disease
2022-01-01,20,liver disease
2022-01-02,20,liver disease
2022-01-03,20,liver disease
2022-01-04,20,liver disease
2022-01-05,20,liver disease
2022-01-06,20,liver disease
2022-01-07,20,liver disease
2022-01-08,20,liver disease
2022-01-09,20,liver disease
2022-01-10,20,liver disease
2022-01-11,20,liver disease
2022-01-12,30,liver disease
2022-01-13,30,liver disease
2022-01-14,30,liver disease
2022-01-15,30,liver disease
2022-01-16,30,liver disease
2022-01-17,30,liver disease
2022-01-18,30,liver disease
2022-01-19,30,liver disease
2022-01-20,30,liver disease
2022-01-21,30,liver disease
2022-01-22,30,liver disease
2022-01-23,30,liver disease
2021-12-16,0,primary immune deficiencies
2021-12-17,0,primary immune deficiencies
2021-12-18,0,primary immune deficiencies
2021-12-19,0,primary immune deficiencies
2021-12-20,0,primary immune deficiencies
2021-12-21,0,primary immune deficiencies
2021-12-22,0,primary immune deficiencies
2021-12-23,10,primary immune deficiencies
2021-12-24,10,primary immune deficiencies
2021-12-25,20,primary immune deficiencies
2021-12-26,20,primary immune deficiencies
2021-12-27,30,primary immune deficiencies
2021-12-28,30,primary immune deficiencies
2021-12-29,40,primary immune deficiencies
2021-12-30,40,primary immune deficiencies
2021-12-31,50,primary immune deficiencies
2022-01-01,60,primary immune deficiencies
2022-01-02,60,primary immune deficiencies
2022-01-03,60,primary immune deficiencies
2022-01-04,60,primary immune deficiencies
2022-01-05,60,primary immune deficiencies
2022-01-06,60,primary immune deficiencies
2022-01-07,70,primary immune deficiencies
2022-01-08,70,primary immune deficiencies
2022-01-09,70,primary immune deficiencies
2022-01-10,70,primary immune deficiencies
2022-01-11,70,primary immune deficiencies
2022-01-12,70,primary immune deficiencies
2022-01-13,70,primary immune deficiencies
2022-01-14,70,primary immune deficiencies
2022-01-15,70,primary immune deficiencies
2022-01-16,80,primary immune deficiencies
2022-01-17,80,primary immune deficiencies
2022-01-18,80,primary immune deficiencies
2022-01-19,80,primary immune deficiencies
2022-01-20,80,primary immune deficiencies
2022-01-21,80,primary immune deficiencies
2022-01-22,80,primary immune deficiencies
2022-01-23,80,primary immune deficiencies
2022-01-24,80,primary immune deficiencies
2022-01-25,80,primary immune deficiencies
2022-01-26,80,primary immune deficiencies
2022-01-27,80,primary immune deficiencies
2022-01-28,80,primary immune deficiencies
2022-01-29,80,primary immune deficiencies
2022-01-30,80,primary immune deficiencies
2022-01-31,80,primary immune deficiencies
2022-02-01,90,primary immune deficiencies
2022-02-02,90,primary immune deficiencies
2021-12-16,0,rare neurological conditions
2021-12-17,0,rare neurological conditions
2021-12-18,10,rare neurological conditions
2021-12-19,10,rare neurological conditions
2021-12-20,10,rare neurological conditions
2021-12-21,20,rare neurological conditions
2021-12-22,20,rare neurological conditions
2021-12-23,20,rare neurological conditions
2021-12-24,20,rare neurological conditions
2021-12-25,20,rare neurological conditions
2021-12-26,20,rare neurological conditions
2021-12-27,30,rare neurological conditions
2021-12-28,40,rare neurological conditions
2021-12-29,40,rare neurological conditions
2021-12-30,50,rare neurological conditions
2021-12-31,60,rare neurological conditions
2022-01-01,60,rare neurological conditions
2022-01-02,60,rare neurological conditions
2022-01-03,70,rare neurological conditions
2022-01-04,70,rare neurological conditions
2022-01-05,80,rare neurological conditions
2022-01-06,80,rare neurological conditions
2022-01-07,80,rare neurological conditions
2022-01-08,80,rare neurological conditions
2022-01-09,80,rare neurological conditions
2022-01-10,90,rare neurological conditions
2022-01-11,100,rare neurological conditions
2022-01-12,100,rare neurological conditions
2022-01-13,100,rare neurological conditions
2022-01-14,100,rare neurological conditions
2022-01-15,100,rare neurological conditions
2022-01-16,100,rare neurological conditions
2022-01-17,110,rare neurological conditions
2022-01-18,110,rare neurological conditions
2022-01-19,110,rare neurological conditions
2022-01-20,120,rare neurological conditions
2022-01-21,120,rare neurological conditions
2022-01-22,120,rare neurological conditions
2022-01-23,120,rare neurological conditions
2022-01-24,120,rare neurological conditions
2022-01-25,120,rare neurological conditions
2022-01-26,120,rare neurological conditions
2022-01-27,120,rare neurological conditions
2022-01-28,120,rare neurological conditions
2022-01-29,120,rare neurological conditions
2022-01-30,120,rare neurological conditions
2022-01-31,120,rare neurological conditions
2021-12-17,0,renal disease
2021-12-18,0,renal disease
2021-12-19,0,renal disease
2021-12-20,10,renal disease
2021-12-21,10,renal disease
2021-12-22,10,renal disease
2021-12-23,10,renal disease
2021-12-24,20,renal disease
2021-12-25,20,renal disease
2021-12-26,30,renal disease
2021-12-27,30,renal disease
2021-12-28,30,renal disease
2021-12-29,40,renal disease
2021-12-30,40,renal disease
2021-12-31,60,renal disease
2022-01-01,60,renal disease
2022-01-02,60,renal disease
2022-01-03,60,renal disease
2022-01-04,70,renal disease
2022-01-05,70,renal disease
2022-01-06,70,renal disease
2022-01-07,80,renal disease
2022-01-08,80,renal disease
2022-01-09,80,renal disease
2022-01-10,90,renal disease
2022-01-11,90,renal disease
2022-01-12,100,renal disease
2022-01-13,100,renal disease
2022-01-14,100,renal disease
2022-01-15,100,renal disease
2022-01-16,100,renal disease
2022-01-17,100,renal disease
2022-01-18,100,renal disease
2022-01-19,110,renal disease
2022-01-20,110,renal disease
2022-01-21,110,renal disease
2022-01-22,110,renal disease
2022-01-23,110,renal disease
2022-01-24,120,renal disease
2022-01-25,120,renal disease
2022-01-26,120,renal disease
2022-01-27,120,renal disease
2022-01-28,120,renal disease
2022-01-29,120,renal disease
2022-01-30,120,renal disease
2022-01-31,120,renal disease
2021-12-17,0,sickle cell disease
2021-12-18,0,sickle cell disease
2021-12-19,0,sickle cell disease
2021-12-20,0,sickle cell disease
2021-12-21,0,sickle cell disease
2021-12-22,0,sickle cell disease
2021-12-23,0,sickle cell disease
2021-12-24,0,sickle cell disease
2021-12-25,0,sickle cell disease
2021-12-26,0,sickle cell disease
2021-12-27,0,sickle cell disease
2021-12-28,0,sickle cell disease
2021-12-29,0,sickle cell disease
2021-12-30,10,sickle cell disease
2021-12-31,10,sickle cell disease
2022-01-01,10,sickle cell disease
2022-01-02,10,sickle cell disease
2022-01-03,10,sickle cell disease
2022-01-04,10,sickle cell disease
2022-01-05,10,sickle cell disease
2022-01-06,10,sickle cell disease
2022-01-07,10,sickle cell disease
2022-01-08,10,sickle cell disease
2022-01-09,10,sickle cell disease
2022-01-10,10,sickle cell disease
2022-01-11,10,sickle cell disease
2022-01-12,10,sickle cell disease
2022-01-13,10,sickle cell disease
2022-01-14,10,sickle cell disease
2022-01-15,10,sickle cell disease
2022-01-16,10,sickle cell disease
2022-01-17,10,sickle cell disease
2022-01-18,10,sickle cell disease
2021-12-17,0,solid cancer
2021-12-18,0,solid cancer
2021-12-19,0,solid cancer
2021-12-20,0,solid cancer
2021-12-21,10,solid cancer
2021-12-22,10,solid cancer
2021-12-23,20,solid cancer
2021-12-24,20,solid cancer
2021-12-25,20,solid cancer
2021-12-26,20,solid cancer
2021-12-27,30,solid cancer
2021-12-28,40,solid cancer
2021-12-29,40,solid cancer
2021-12-30,50,solid cancer
2021-12-31,60,solid cancer
2022-01-01,70,solid cancer
2022-01-02,70,solid cancer
2022-01-03,70,solid cancer
2022-01-04,80,solid cancer
2022-01-05,80,solid cancer
2022-01-06,80,solid cancer
2022-01-07,90,solid cancer
2022-01-08,100,solid cancer
2022-01-09,100,solid cancer
2022-01-10,110,solid cancer
2022-01-11,110,solid cancer
2022-01-12,120,solid cancer
2022-01-13,120,solid cancer
2022-01-14,120,solid cancer
2022-01-15,130,solid cancer
2022-01-16,130,solid cancer
2022-01-17,130,solid cancer
2022-01-18,130,solid cancer
2022-01-19,140,solid cancer
2022-01-20,140,solid cancer
2022-01-21,140,solid cancer
2022-01-22,140,solid cancer
2022-01-23,140,solid cancer
2022-01-24,150,solid cancer
2022-01-25,150,solid cancer
2022-01-26,150,solid cancer
2022-01-27,150,solid cancer
2022-01-28,150,solid cancer
2022-01-29,150,solid cancer
2022-01-30,150,solid cancer
2022-01-31,150,solid cancer
2021-12-17,0,solid organ recipients
2021-12-18,10,solid organ recipients
2021-12-19,10,solid organ recipients
2021-12-20,10,solid organ recipients
2021-12-21,20,solid organ recipients
2021-12-22,20,solid organ recipients
2021-12-23,30,solid organ recipients
2021-12-24,50,solid organ recipients
2021-12-25,50,solid organ recipients
2021-12-26,60,solid organ recipients
2021-12-27,70,solid organ recipients
2021-12-28,80,solid organ recipients
2021-12-29,100,solid organ recipients
2021-12-30,110,solid organ recipients
2021-12-31,150,solid organ recipients
2022-01-01,160,solid organ recipients
2022-01-02,160,solid organ recipients
2022-01-03,160,solid organ recipients
2022-01-04,170,solid organ recipients
2022-01-05,180,solid organ recipients
2022-01-06,180,solid organ recipients
2022-01-07,190,solid organ recipients
2022-01-08,200,solid organ recipients
2022-01-09,200,solid organ recipients
2022-01-10,210,solid organ recipients
2022-01-11,220,solid organ recipients
2022-01-12,230,solid organ recipients
2022-01-13,230,solid organ recipients
2022-01-14,240,solid organ recipients
2022-01-15,240,solid organ recipients
2022-01-16,240,solid organ recipients
2022-01-17,240,solid organ recipients
2022-01-18,250,solid organ recipients
2022-01-19,250,solid organ recipients
2022-01-20,250,solid organ recipients
2022-01-21,260,solid organ recipients
2022-01-22,260,solid organ recipients
2022-01-23,260,solid organ recipients
2022-01-24,270,solid organ recipients
2022-01-25,270,solid organ recipients
2022-01-26,270,solid organ recipients
2022-01-27,270,solid organ recipients
2022-01-28,270,solid organ recipients
2022-01-29,270,solid organ recipients
2022-01-30,270,solid organ recipients
2022-01-31,270,solid organ recipients
2022-02-01,270,solid organ recipients
2021-12-31,0,stem cell transplant recipients
